seed,source,k,operator,subject,n,accuracy,macro_f1,nll,brier,confidence,mean_l1_to_k1,prediction_flip_rate
0,M2,2,cpsa,13,348,0.95114942528735635,0.84988346600509257,0.20854753255844116,0.094680413603782654,0.86190235614776611,0.086078852415084839,0.028735632183908046
0,M2,2,cpsa,18,403,0.8957816377171216,0.79394896055428277,0.3168410062789917,0.16114018857479095,0.85236173868179321,0.081241674721240997,0.029776674937965261
0,M2,2,cpsa,20,384,0.84635416666666663,0.72728344551261748,0.37285366654396057,0.20205898582935333,0.79522448778152466,0.12005379050970078,0.072916666666666671
0,M2,2,cpsa,24,410,0.92682926829268297,0.83432903693031224,0.27581894397735596,0.12860934436321259,0.87349122762680054,0.071904264390468597,0.021951219512195121
0,M2,3,cpsa,2,324,0.90740740740740744,0.65170460812511743,0.2483142763376236,0.12705206871032715,0.85368424654006958,0.13782757520675659,0.049382716049382713
0,M2,3,cpsa,4,336,0.9196428571428571,0.74355847012466825,0.28019088506698608,0.13954003155231476,0.82515335083007812,0.14040672779083252,0.044642857142857144
0,M2,3,cpsa,9,311,0.79421221864951763,0.59350081497647345,0.57094746828079224,0.30276522040367126,0.74527126550674438,0.23508921265602112,0.11254019292604502
0,M2,3,cpsa,10,306,0.80392156862745101,0.70545402141049596,0.495565265417099,0.27263301610946655,0.78525626659393311,0.22058179974555969,0.094771241830065356
0,M2,3,cpsa,12,340,0.92647058823529416,0.78700605641101851,0.25683653354644775,0.12651859223842621,0.84442985057830811,0.12704561650753021,0.044117647058823532
0,M2,3,cpsa,13,348,0.93965517241379315,0.84400466415076625,0.23596745729446411,0.11405134946107864,0.847770094871521,0.13815182447433472,0.045977011494252873
0,M2,3,cpsa,18,403,0.89081885856079401,0.78940995302309158,0.3371727466583252,0.171680748462677,0.8394431471824646,0.129985511302948,0.047146401985111663
0,M2,3,cpsa,20,384,0.8359375,0.7015054234355439,0.41454195976257324,0.22917048633098602,0.7843928337097168,0.19131708145141602,0.11458333333333333
0,M2,3,cpsa,24,410,0.91219512195121955,0.81000352415456256,0.30720201134681702,0.14729216694831848,0.86221444606781006,0.11304107308387756,0.036585365853658534
0,M2,5,cpsa,2,324,0.89197530864197527,0.64366546612036302,0.28056374192237854,0.14916114509105682,0.84505444765090942,0.19140453636646271,0.07716049382716049
0,M2,5,cpsa,4,336,0.88690476190476186,0.68501934884895432,0.31776824593544006,0.16417768597602844,0.81500482559204102,0.19862928986549377,0.086309523809523808
