seed,source,k,operator,class,support,recall,d_recall,prediction_flip_rate,mean_l1_to_k1
0,M1,100,cpsa,5,545,0.95045871559633033,0.0091743119266055606,0.03669724770642202,0.23783591389656067
0,M1,100,cpsa,6,23,0.86956521739130432,0.086956521739130377,0.086956521739130432,0.49392551183700562
0,M1,100,cpsa,7,10,0.69999999999999996,0,0.10000000000000001,0.32822087407112122
0,M1,100,cpsa,8,32,0.6875,0,0.125,0.34653478860855103
0,M1,100,cpsa,9,25,0.88,0.040000000000000036,0.16,0.35370087623596191
0,M1,100,cpsa,10,49,0.53061224489795922,-0.061224489795918324,0.14285714285714285,0.41570901870727539
0,M1,100,cpsa,11,27,0.07407407407407407,-0.1111111111111111,0.29629629629629628,0.41956087946891785
0,M2,1,cpsa,0,496,0.967741935483871,0,0,0
0,M2,1,cpsa,1,471,0.97664543524416136,0,0,0
0,M2,1,cpsa,2,420,0.85952380952380958,0,0,0
0,M2,1,cpsa,3,508,0.84842519685039375,0,0,0
0,M2,1,cpsa,4,556,0.89388489208633093,0,0,0
0,M2,1,cpsa,5,545,0.94128440366972477,0,0,0
0,M2,1,cpsa,6,23,0.78260869565217395,0,0,0
0,M2,1,cpsa,7,10,0.69999999999999996,0,0,0
0,M2,1,cpsa,8,32,0.6875,0,0,0
0,M2,1,cpsa,9,25,0.83999999999999997,0,0,0
0,M2,1,cpsa,10,49,0.59183673469387754,0,0,0
0,M2,1,cpsa,11,27,0.18518518518518517,0,0,0
0,M2,5,cpsa,0,496,0.905241935483871,-0.0625,0.096774193548387094,0.16522353887557983
0,M2,5,cpsa,1,471,0.94479830148619959,-0.031847133757961776,0.050955414012738856,0.1743597686290741
0,M2,5,cpsa,2,420,0.85238095238095235,-0.0071428571428572285,0.071428571428571425,0.13389742374420166
0,M2,5,cpsa,3,508,0.85039370078740162,0.0019685039370078705,0.11614173228346457,0.30197516083717346
0,M2,5,cpsa,4,556,0.84892086330935257,-0.04496402877697836,0.1223021582733813,0.26452505588531494
0,M2,5,cpsa,5,545,0.84770642201834867,-0.093577981651376096,0.13577981651376148,0.25418451428413391
0,M2,5,cpsa,6,23,0.52173913043478259,-0.26086956521739135,0.30434782608695654,0.4022580087184906
0,M2,5,cpsa,7,10,0.59999999999999998,-0.099999999999999978,0.10000000000000001,0.29135805368423462
0,M2,5,cpsa,8,32,0.59375,-0.09375,0.1875,0.27664166688919067
0,M2,5,cpsa,9,25,0.64000000000000001,-0.19999999999999996,0.23999999999999999,0.25396165251731873
0,M2,5,cpsa,10,49,0.63265306122448983,0.04081632653061229,0.18367346938775511,0.27990993857383728
0,M2,5,cpsa,11,27,0.40740740740740738,0.22222222222222221,0.25925925925925924,0.28268986940383911
0,M2,100,cpsa,0,496,0.82056451612903225,-0.14717741935483875,0.19153225806451613,0.33812341094017029
0,M2,100,cpsa,1,471,0.87685774946921446,-0.099787685774946899,0.12526539278131635,0.2947719395160675
0,M2,100,cpsa,2,420,0.84523809523809523,-0.014285714285714346,0.10476190476190476,0.20987749099731445
0,M2,100,cpsa,3,508,0.71850393700787396,-0.12992125984251979,0.28543307086614172,0.5761101245880127
0,M2,100,cpsa,4,556,0.78956834532374098,-0.10431654676258995,0.22661870503597123,0.46479028463363647
0,M2,100,cpsa,5,545,0.73761467889908261,-0.20366972477064216,0.24954128440366974,0.42523232102394104
0,M2,100,cpsa,6,23,0.43478260869565216,-0.34782608695652178,0.39130434782608697,0.62049245834350586
0,M2,100,cpsa,7,10,0.59999999999999998,-0.099999999999999978,0.10000000000000001,0.48648422956466675
0,M2,100,cpsa,8,32,0.5,-0.1875,0.3125,0.4278709888458252
0,M2,100,cpsa,9,25,0.47999999999999998,-0.35999999999999999,0.40000000000000002,0.37683331966400146
0,M2,100,cpsa,10,49,0.65306122448979587,0.061224489795918324,0.2857142857142857,0.41203007102012634
0,M2,100,cpsa,11,27,0.44444444444444442,0.25925925925925924,0.29629629629629628,0.41263905167579651
1,M1,1,late_product,0,496,0.98185483870967738,0,0,0
1,M1,1,late_product,1,471,0.98301486199575372,0,0,0
1,M1,1,late_product,2,420,0.95238095238095233,0,0,0
1,M1,1,late_product,3,508,0.89370078740157477,0,0,0
1,M1,1,late_product,4,556,0.92446043165467628,0,0,0
1,M1,1,late_product,5,545,0.96880733944954134,0,0,0
1,M1,1,late_product,6,23,0.78260869565217395,0,0,0
1,M1,1,late_product,7,10,0.90000000000000002,0,0,0
1,M1,1,late_product,8,32,0.65625,0,0,0
1,M1,1,late_product,9,25,0.56000000000000005,0,0,0
1,M1,1,late_product,10,49,0.61224489795918369,0,0,0
1,M1,1,late_product,11,27,0.40740740740740738,0,0,0
1,M1,5,late_product,0,496,0.98588709677419351,0.0040322580645161255,0.012096774193548387,0.030788127332925797
1,M1,5,late_product,1,471,0.9002123142250531,-0.082802547770700619,0.091295116772823773,0.18124337494373322
1,M1,5,late_product,2,420,0.92142857142857137,-0.030952380952380953,0.050000000000000003,0.094228759407997131
1,M1,5,late_product,3,508,0.76574803149606296,-0.12795275590551181,0.14763779527559054,0.29372543096542358
1,M1,5,late_product,4,556,0.90827338129496404,-0.016187050359712241,0.062949640287769781,0.13475927710533142
1,M1,5,late_product,5,545,0.96146788990825693,-0.0073394495412844041,0.016513761467889909,0.042338412255048752
1,M1,5,late_product,6,23,0.78260869565217395,0,0,0.10324215888977051
1,M1,5,late_product,7,10,0.90000000000000002,0,0,0.10769448429346085
1,M1,5,late_product,8,32,0.625,-0.03125,0.15625,0.38392791152000427
1,M1,5,late_product,9,25,0.52000000000000002,-0.040000000000000036,0.16,0.48354449868202209
1,M1,5,late_product,10,49,0.48979591836734693,-0.12244897959183676,0.26530612244897961,0.54865896701812744
1,M1,5,late_product,11,27,0.51851851851851849,0.1111111111111111,0.14814814814814814,0.43044775724411011
1,M1,100,late_product,0,496,0.97782258064516125,-0.0040322580645161255,0.020161290322580645,0.048265554010868073
1,M1,100,late_product,1,471,0.87898089171974525,-0.10403397027600847,0.11464968152866242,0.22596319019794464
1,M1,100,late_product,2,420,0.919047619047619,-0.033333333333333326,0.066666666666666666,0.12960825860500336
1,M1,100,late_product,3,508,0.71062992125984248,-0.18307086614173229,0.20472440944881889,0.42208796739578247
1,M1,100,late_product,4,556,0.89388489208633093,-0.030575539568345356,0.084532374100719426,0.18829280138015747
1,M1,100,late_product,5,545,0.95412844036697253,-0.014678899082568808,0.022018348623853212,0.053420774638652802
1,M1,100,late_product,6,23,0.78260869565217395,0,0.086956521739130432,0.26421216130256653
1,M1,100,late_product,7,10,0.90000000000000002,0,0,0.10784707963466644
1,M1,100,late_product,8,32,0.625,-0.03125,0.1875,0.53809022903442383
1,M1,100,late_product,9,25,0.47999999999999998,-0.080000000000000071,0.20000000000000001,0.66653412580490112
1,M1,100,late_product,10,49,0.44897959183673469,-0.16326530612244899,0.30612244897959184,0.67587339878082275
1,M1,100,late_product,11,27,0.51851851851851849,0.1111111111111111,0.18518518518518517,0.65902876853942871
1,M2,1,late_product,0,496,0.98185483870967738,0,0,0
1,M2,1,late_product,1,471,0.98301486199575372,0,0,0
1,M2,1,late_product,2,420,0.95238095238095233,0,0,0
1,M2,1,late_product,3,508,0.89370078740157477,0,0,0
1,M2,1,late_product,4,556,0.92446043165467628,0,0,0
1,M2,1,late_product,5,545,0.96880733944954134,0,0,0
1,M2,1,late_product,6,23,0.78260869565217395,0,0,0
1,M2,1,late_product,7,10,0.90000000000000002,0,0,0
1,M2,1,late_product,8,32,0.65625,0,0,0
1,M2,1,late_product,9,25,0.56000000000000005,0,0,0
1,M2,1,late_product,10,49,0.61224489795918369,0,0,0
1,M2,1,late_product,11,27,0.40740740740740738,0,0,0
1,M2,5,late_product,0,496,0.89919354838709675,-0.082661290322580627,0.088709677419354843,0.1830667108297348
1,M2,5,late_product,1,471,0.94904458598726116,-0.033970276008492561,0.050955414012738856,0.11483699828386307
1,M2,5,late_product,2,420,0.91428571428571426,-0.038095238095238071,0.059523809523809521,0.1310640275478363
1,M2,5,late_product,3,508,0.90157480314960625,0.0078740157480314821,0.096456692913385822,0.23423415422439575
1,M2,5,late_product,4,556,0.87050359712230219,-0.053956834532374098,0.070143884892086325,0.17021104693412781
1,M2,5,late_product,5,545,0.85321100917431192,-0.11559633027522942,0.13761467889908258,0.28265362977981567
