split,dataset,seed,source,operator,k,ordering,n,max_linf,mean_abs,pred_changes
grid,MHEALTH,0,M2,late_product,3,shuffle_B,1987,4.76837158203125e-07,3.450503541292519e-10,0
grid,MHEALTH,0,M2,late_mean,3,reverse,1987,1.1920928955078125e-07,3.3152997712114725e-09,0
grid,MHEALTH,0,M2,late_mean,3,shuffle_A,1987,0.0,0.0,0
grid,MHEALTH,0,M2,late_mean,3,shuffle_B,1987,5.960464477539063e-08,1.3984941215685813e-09,0
grid,MHEALTH,0,M2,cpsa,3,reverse,1987,2.384185791015625e-07,3.931764055702821e-09,0
grid,MHEALTH,0,M2,cpsa,3,shuffle_A,1987,0.0,0.0,0
grid,MHEALTH,0,M2,cpsa,3,shuffle_B,1987,2.384185791015625e-07,4.409298794484714e-09,0
grid,MHEALTH,0,M2,late_product,5,reverse,1987,1.7285346984863281e-06,5.605022827339785e-10,0
grid,MHEALTH,0,M2,late_product,5,shuffle_A,1987,8.940696716308594e-07,3.077020260997379e-10,0
grid,MHEALTH,0,M2,late_product,5,shuffle_B,1987,8.940696716308594e-07,3.3695192509186487e-10,0
grid,MHEALTH,0,M2,late_mean,5,reverse,1987,1.1920928955078125e-07,3.6917022718099832e-09,0
grid,MHEALTH,0,M2,late_mean,5,shuffle_A,1987,1.1920928955078125e-07,2.8256507638492433e-09,0
grid,MHEALTH,0,M2,late_mean,5,shuffle_B,1987,1.1920928955078125e-07,2.371176054420547e-09,0
grid,MHEALTH,0,M2,cpsa,5,reverse,1987,2.980232238769531e-07,3.3280139596521853e-09,0
grid,MHEALTH,0,M2,cpsa,5,shuffle_A,1987,2.980232238769531e-07,3.2154195654536962e-09,0
grid,MHEALTH,0,M2,cpsa,5,shuffle_B,1987,2.980232238769531e-07,3.757333360507109e-09,0
grid,MHEALTH,0,M2,late_product,8,reverse,1987,1.9073486328125e-06,2.9998968794949547e-09,0
grid,MHEALTH,0,M2,late_product,8,shuffle_A,1987,1.1324882507324219e-06,9.646017254778098e-10,0
grid,MHEALTH,0,M2,late_product,8,shuffle_B,1987,1.3709068298339844e-06,1.6947451510673553e-09,0
grid,MHEALTH,0,M2,late_mean,8,reverse,1987,1.7881393432617188e-07,3.365574398529479e-09,0
grid,MHEALTH,0,M2,late_mean,8,shuffle_A,1987,1.1920928955078125e-07,1.8162415338769888e-09,0
grid,MHEALTH,0,M2,late_mean,8,shuffle_B,1987,1.7881393432617188e-07,2.839971147654492e-09,0
grid,MHEALTH,0,M2,cpsa,8,reverse,1987,2.384185791015625e-07,2.6462739215245446e-09,0
grid,MHEALTH,0,M2,cpsa,8,shuffle_A,1987,2.980232238769531e-07,4.5515883710646435e-09,0
grid,MHEALTH,0,M2,cpsa,8,shuffle_B,1987,2.384185791015625e-07,2.554704988690982e-09,0
grid,MHEALTH,0,M2,late_product,16,reverse,1987,3.248453140258789e-06,5.123973204250772e-09,0
grid,MHEALTH,0,M2,late_product,16,shuffle_A,1987,1.7285346984863281e-06,2.0554047192288064e-09,0
grid,MHEALTH,0,M2,late_product,16,shuffle_B,1987,1.430511474609375e-06,2.2995654395500217e-09,0
grid,MHEALTH,0,M2,late_mean,16,reverse,1987,1.7881393432617188e-07,3.4182134572265648e-09,0
grid,MHEALTH,0,M2,late_mean,16,shuffle_A,1987,1.1920928955078125e-07,2.071194624041468e-09,0
grid,MHEALTH,0,M2,late_mean,16,shuffle_B,1987,1.1920928955078125e-07,1.9150621254143034e-09,0
grid,MHEALTH,0,M2,cpsa,16,reverse,1987,2.384185791015625e-07,2.220558912995261e-09,0
grid,MHEALTH,0,M2,cpsa,16,shuffle_A,1987,2.980232238769531e-07,3.4627166649858256e-09,0
grid,MHEALTH,0,M2,cpsa,16,shuffle_B,1987,2.980232238769531e-07,3.34035390402399e-09,0
grid,MHEALTH,0,M2,late_product,32,reverse,1987,1.2964010238647461e-05,2.1949225257614757e-09,0
grid,MHEALTH,0,M2,late_product,32,shuffle_A,1987,1.9371509552001953e-06,5.850492557088157e-10,0
grid,MHEALTH,0,M2,late_product,32,shuffle_B,1987,9.298324584960938e-06,1.6360798379413587e-09,0
grid,MHEALTH,0,M2,late_mean,32,reverse,1987,1.7881393432617188e-07,3.351322694201987e-09,0
grid,MHEALTH,0,M2,late_mean,32,shuffle_A,1987,1.1920928955078125e-07,3.8263966945481577e-10,0
grid,MHEALTH,0,M2,late_mean,32,shuffle_B,1987,1.7881393432617188e-07,3.565846198331816e-09,0
grid,MHEALTH,0,M2,cpsa,32,reverse,1987,4.76837158203125e-07,2.2157749642948742e-09,0
grid,MHEALTH,0,M2,cpsa,32,shuffle_A,1987,4.76837158203125e-07,3.698193313613019e-09,0
grid,MHEALTH,0,M2,cpsa,32,shuffle_B,1987,4.76837158203125e-07,3.9979579902171494e-09,0
grid,MHEALTH,0,M2,late_product,64,reverse,1987,5.1081180572509766e-05,9.387666359446998e-09,0
grid,MHEALTH,0,M2,late_product,64,shuffle_A,1987,1.7583370208740234e-05,2.5451405661787312e-09,0
grid,MHEALTH,0,M2,late_product,64,shuffle_B,1987,1.9371509552001953e-05,2.6982996903961237e-09,0
grid,MHEALTH,0,M2,late_mean,64,reverse,1987,1.7881393432617188e-07,3.5265512862203266e-09,0
grid,MHEALTH,0,M2,late_mean,64,shuffle_A,1987,1.1920928955078125e-07,6.163477611604769e-10,0
grid,MHEALTH,0,M2,late_mean,64,shuffle_B,1987,1.1920928955078125e-07,4.244150850200636e-10,0
grid,MHEALTH,0,M2,cpsa,64,reverse,1987,7.152557373046875e-07,2.4780573604822776e-09,0
grid,MHEALTH,0,M2,cpsa,64,shuffle_A,1987,7.152557373046875e-07,3.861321458331831e-09,0
grid,MHEALTH,0,M2,cpsa,64,shuffle_B,1987,7.152557373046875e-07,3.502799000421259e-09,0
grid,MHEALTH,0,M2,late_product,100,reverse,1987,2.3365020751953125e-05,3.573898987041774e-09,0
