seed,object,class,support,recall,precision,f1
2,late_product,2,420,0.95476190476190481,0.98284313725490191,0.96859903381642509
2,late_product,3,508,0.80905511811023623,0.93197278911564629,0.8661749209694416
2,late_product,4,556,0.9532374100719424,0.82170542635658916,0.88259783513738554
2,late_product,5,545,0.95963302752293578,0.99809160305343514,0.9784845650140318
2,late_product,6,23,0.82608695652173914,0.61290322580645162,0.70370370370370372
2,late_product,7,10,0.80000000000000004,1,0.88888888888888895
2,late_product,8,32,0.6875,0.66666666666666663,0.67692307692307696
2,late_product,9,25,0.88,0.51162790697674421,0.6470588235294118
2,late_product,10,49,0.63265306122448983,0.79487179487179482,0.7045454545454547
2,late_product,11,27,0.1111111111111111,0.59999999999999998,0.18750000000000003
2,late_mean,0,496,0.97580645161290325,0.93436293436293438,0.95463510848126232
2,late_mean,1,471,0.92144373673036095,0.93736501079913603,0.92933618843683075
2,late_mean,2,420,0.94285714285714284,0.95652173913043481,0.94964028776978426
2,late_mean,3,508,0.79133858267716539,0.93055555555555558,0.85531914893617023
2,late_mean,4,556,0.9460431654676259,0.80798771121351765,0.87158243579121786
2,late_mean,5,545,0.95779816513761473,0.98676748582230622,0.97206703910614534
2,late_mean,6,23,0.73913043478260865,0.68000000000000005,0.70833333333333337
2,late_mean,7,10,0.80000000000000004,0.88888888888888884,0.8421052631578948
2,late_mean,8,32,0.6875,0.70967741935483875,0.69841269841269837
2,late_mean,9,25,0.92000000000000004,0.52272727272727271,0.66666666666666663
2,late_mean,10,49,0.61224489795918369,0.75,0.6741573033707865
2,late_mean,11,27,0.18518518518518517,0.83333333333333337,0.30303030303030298
2,cpsa,0,496,0.98991935483870963,0.83361629881154498,0.90506912442396314
2,cpsa,1,471,0.86624203821656054,0.94009216589861755,0.90165745856353596
2,cpsa,2,420,0.87142857142857144,0.98918918918918919,0.9265822784810126
2,cpsa,3,508,0.86614173228346458,0.87649402390438247,0.87128712871287128
2,cpsa,4,556,0.89928057553956831,0.87108013937282225,0.88495575221238942
2,cpsa,5,545,0.95963302752293578,0.97574626865671643,0.96762257169287702
2,cpsa,6,23,0.73913043478260865,0.56666666666666665,0.64150943396226412
2,cpsa,7,10,0.80000000000000004,0.88888888888888884,0.8421052631578948
2,cpsa,8,32,0.78125,0.64102564102564108,0.70422535211267612
2,cpsa,9,25,0.80000000000000004,0.51282051282051277,0.625
2,cpsa,10,49,0.48979591836734693,0.82758620689655171,0.61538461538461542
2,cpsa,11,27,0.22222222222222221,0.54545454545454541,0.31578947368421051
