dataset,seed,source,operator,k,reproduced_mean_l1,frozen_mean_l1,abs_discrepancy
HAPT,0,M2,cpsa,5,0.22392044356199264,0.22392041981220245,2.3749790190041864e-08
HAPT,0,M2,late_product,16,0.3238981576603606,0.32389816641807556,8.7577149421314e-09
HAPT,0,M2,late_mean,16,0.28406140106073363,0.28406140208244324,1.0217096058084962e-09
HAPT,0,M2,cpsa,16,0.3324529034941331,0.3324528932571411,1.0236991976331211e-08
HAPT,0,M2,late_product,100,0.4261457049125077,0.42614567279815674,3.211435095629156e-08
HAPT,0,M2,late_mean,100,0.31556127659712835,0.3155612647533417,1.184378667362651e-08
HAPT,0,M2,cpsa,100,0.3956716943855315,0.39567169547080994,1.085278422685576e-09
HAPT,1,M1,late_product,2,0.07237761613936038,0.07237761467695236,1.4624080141301121e-09
HAPT,1,M1,late_mean,2,0.10826373383656719,0.10826374590396881,1.2067401619630935e-08
HAPT,1,M1,cpsa,2,0.084120453097725,0.08412045985460281,6.756877807267969e-09
HAPT,1,M1,late_product,5,0.14350345790523011,0.14350345730781555,5.974145622644755e-10
HAPT,1,M1,late_mean,5,0.2165274665601989,0.21652746200561523,4.554583654670097e-09
HAPT,1,M1,cpsa,5,0.16122098827581827,0.161220982670784,5.605034270050879e-09
HAPT,1,M1,late_product,16,0.1825419181634394,0.18254192173480988,3.5713704771289656e-09
HAPT,1,M1,late_mean,16,0.2865804761994969,0.28658047318458557,3.014911320597946e-09
HAPT,1,M1,cpsa,16,0.2091090901872406,0.20910906791687012,2.227037049218339e-08
HAPT,1,M1,late_product,100,0.19765300903405988,0.19765301048755646,1.4534965731005656e-09
HAPT,1,M1,late_mean,100,0.3183597143918279,0.31835973262786865,1.8236040733032866e-08
HAPT,1,M1,cpsa,100,0.23074279824192043,0.23074281215667725,1.3914756819000118e-08
HAPT,1,M2,late_product,2,0.07130249674015916,0.07130249589681625,8.433429093956946e-10
HAPT,1,M2,late_mean,2,0.10826373467592015,0.10826373100280762,3.673112536350942e-09
HAPT,1,M2,cpsa,2,0.09642889008310436,0.09642888605594635,4.027158009844989e-09
HAPT,1,M2,late_product,5,0.203602183970143,0.20360217988491058,4.0852324301177134e-09
HAPT,1,M2,late_mean,5,0.21652746896750522,0.21652746200561523,6.961889981171865e-09
HAPT,1,M2,cpsa,5,0.21751232717017643,0.2175123244524002,2.71777622629088e-09
HAPT,1,M2,late_product,16,0.3398535946987133,0.33985358476638794,9.932325351069693e-09
HAPT,1,M2,late_mean,16,0.2865804738737675,0.28658047318458557,6.891819337440097e-10
HAPT,1,M2,cpsa,16,0.32699987723012286,0.32699987292289734,4.307225520694402e-09
HAPT,1,M2,late_product,100,0.4326680126187033,0.432668000459671,1.2159032281022775e-08
HAPT,1,M2,late_mean,100,0.3183597018877055,0.31835973262786865,3.0740163137199517e-08
HAPT,1,M2,cpsa,100,0.3971112203800477,0.3971112370491028,1.6669055080686945e-08
HAPT,2,M1,late_product,2,0.07402201095428332,0.07402200996875763,9.855256888346986e-10
HAPT,2,M1,late_mean,2,0.1106867587981812,0.110686756670475,2.1277061917901463e-09
HAPT,2,M1,cpsa,2,0.0752146794576199,0.0752146765589714,2.8986485017812313e-09
HAPT,2,M1,late_product,5,0.1415506428061269,0.14155063033103943,1.2475087463048595e-08
HAPT,2,M1,late_mean,5,0.22137351701799307,0.22137351334095,3.6770430589250225e-09
HAPT,2,M1,cpsa,5,0.1491769139042914,0.14917691051959991,3.384691499297432e-09
HAPT,2,M1,late_product,16,0.18289143024536672,0.18289144337177277,1.3126406045449457e-08
HAPT,2,M1,late_mean,16,0.2929943580610173,0.29299435019493103,7.866086282337648e-09
