dataset,seed,source,operator,k,eta,n_test,n_boundary_degenerate,frac_boundary_degenerate,mean_l1_exact_vs_clean,max_l1_exact_vs_clean,mean_l1_near_vs_clean,max_l1_near_vs_clean,mean_l1_near_vs_exact,max_l1_near_vs_exact,flip_rate_near_vs_clean,flip_count_near_vs_clean,flip_rate_near_vs_exact,flip_count_near_vs_exact,mean_single_copy_l1,mean_maxdir_single_copy_l1,max_maxdir_single_copy_l1,mean_token_l1_to_p,max_token_l1_to_p,frac_token_l1_ge_90pct_eta,movement_ratio,trajectory_error_ratio
MHEALTH,0,M1,cpsa,32,0.01,1987,0,0.0,0.41814903860739283,1.819547307920757,0.418117922264097,1.8194537953631271,3.7613265646544645e-05,0.00022441071612040253,0.13537996980372421,269,0.0,0,0.0025381320996651323,0.002549835444990272,0.009102927727730803,0.00654564514235058,0.01,0.571716155007549,0.9999255855199394,8.995181663411732e-05
MHEALTH,0,M1,late_product,32,0.05,1987,0,0.0,0.24000482582681826,2.00000012935331,0.24006112586811146,2.00000012935331,7.281716952450005e-05,0.04883572459220886,0.11575239053850025,230,0.0,0,0.0114582954948002,0.015850789624328263,1.0400469455775376,0.023103437005441096,0.05,0.36436839456467035,1.0002345787885691,0.0003033987723940317
MHEALTH,0,M1,late_mean,32,0.05,1987,0,0.0,0.4248623404423514,1.2152942768035646,0.4248623484342034,1.2152939793624173,2.1310600831987183e-07,5.960609996691346e-07,0.12330145948666331,245,0.0,0,0.007701143370973097,0.007701154457905724,0.016666725277900696,0.023103437005441096,0.05,0.36436839456467035,1.0000000188104505,5.015883688302275e-07
MHEALTH,0,M1,cpsa,32,0.05,1987,0,0.0,0.41814903860739283,1.819547307920757,0.4176777394152655,1.8193742837249207,0.0005861390847094025,0.004111892863548405,0.13537996980372421,269,0.0,0,0.00883520051908122,0.009013258682991533,0.04492735736573053,0.023103437005441096,0.05,0.36436839456467035,0.9988728918433079,0.0014017468189368202
MHEALTH,0,M1,late_product,64,0.01,1987,0,0.0,0.2622534586955609,2.00000012935331,0.26225478077591335,2.00000012935331,1.3377089522988434e-06,0.00042706727981567383,0.12732762959235028,253,0.0,0,0.006964023046983874,0.009630569355821503,1.0400469455775376,0.00654564514235058,0.01,0.571716155007549,1.0000050412313304,5.1008248240177985e-06
MHEALTH,0,M1,late_mean,64,0.01,1987,0,0.0,0.4447972595188783,1.2723171111046678,0.4447972126031374,1.272316632986941,4.4261347398707747e-07,1.1920938050025143e-06,0.1253145445395068,249,0.0,0,0.0021818804843232336,0.002181886859101102,0.0033333972096443176,0.00654564514235058,0.01,0.571716155007549,0.9999998945233141,9.95090379976345e-07
MHEALTH,0,M1,cpsa,64,0.01,1987,0,0.0,0.4248549927343111,1.8472646005838542,0.424825979763001,1.8471695064494602,3.5730293258020717e-05,0.00019759472882441287,0.1373930548565677,273,0.0,0,0.0025381320996651323,0.002549835444990272,0.009102927727730803,0.00654564514235058,0.01,0.571716155007549,0.9999317108853462,8.409997262375388e-05
MHEALTH,0,M1,late_product,64,0.05,1987,0,0.0,0.2622534586955609,2.00000012935331,0.26228629048505353,2.00000012935331,3.31836579831232e-05,0.010334193706512451,0.12732762959235028,253,0.0,0,0.0114582954948002,0.015850789624328263,1.0400469455775376,0.023103437005441096,0.05,0.36436839456467035,1.000125191063851,0.00012653277538522275
MHEALTH,0,M1,late_mean,64,0.05,1987,0,0.0,0.4447972595188783,1.2723171111046678,0.44479721296263636,1.272316632986941,4.4907273739964715e-07,1.1920938050025143e-06,0.1253145445395068,249,0.0,0,0.007701143370973097,0.007701154457905724,0.016666725277900696,0.023103437005441096,0.05,0.36436839456467035,0.9999998953315451,1.0096121947455197e-06
MHEALTH,0,M1,cpsa,64,0.05,1987,0,0.0,0.4248549927343111,1.8472646005838542,0.42448220574583584,1.847087249814411,0.0005100315358215121,0.0034555945823235845,0.1373930548565677,273,0.0,0,0.00883520051908122,0.009013258682991533,0.04492735736573053,0.023103437005441096,0.05,0.36436839456467035,0.9991225547660955,0.0012004837992817643
MHEALTH,0,M1,late_product,100,0.01,1987,0,0.0,0.2743016297723244,2.00000012935331,0.27430312721765004,2.00000012935331,1.4989264996851447e-06,0.0006906092166900635,0.1338701560140916,266,0.0,0,0.006964023046983874,0.009630569355821503,1.0400469455775376,0.00654564514235058,0.01,0.571716155007549,1.0000054591193164,5.46451911689071e-06
MHEALTH,0,M1,late_mean,100,0.01,1987,0,0.0,0.4522727592439513,1.293700416112968,0.45227279784657864,1.2937000604641598,6.638900098855105e-07,1.7881393432617188e-06,0.12833417211877202,255,0.0,0,0.0021818804843232336,0.002181886859101102,0.0033333972096443176,0.00654564514235058,0.01,0.571716155007549,1.0000000853525368,1.4678974055287177e-06
MHEALTH,0,M1,cpsa,100,0.01,1987,0,0.0,0.42715678668081003,1.8556722142093243,0.4271296998132585,1.855575527714778,3.3966520309125225e-05,0.0001829597539018124,0.1404126824358329,279,0.0,0,0.0025381320996651323,0.002549835444990272,0.009102927727730803,0.00654564514235058,0.01,0.571716155007549,0.9999365879967353,7.951768851212582e-05
MHEALTH,0,M1,late_product,100,0.05,1987,0,0.0,0.2743016297723244,2.00000012935331,0.2743391105909399,2.00000012935331,3.7480818615485654e-05,0.01657181978225708,0.1338701560140916,266,0.0,0,0.0114582954948002,0.015850789624328263,1.0400469455775376,0.023103437005441096,0.05,0.36436839456467035,1.0001366408892525,0.0001366408892524461
MHEALTH,0,M1,late_mean,100,0.05,1987,0,0.0,0.4522727592439513,1.293700416112968,0.45227279666520037,1.2937000604641598,6.53592263219386e-07,1.7881393432617188e-06,0.12833417211877202,255,0.0,0,0.007701143370973097,0.007701154457905724,0.016666725277900696,0.023103437005441096,0.05,0.36436839456467035,1.0000000827404445,1.4451285200372746e-06
MHEALTH,0,M1,cpsa,100,0.05,1987,0,0.0,0.42715678668081003,1.8556722142093243,0.42685731466981014,1.855493020971982,0.0004736121139278911,0.0029994121258702933,0.1404126824358329,279,0.0,0,0.00883520051908122,0.009013258682991533,0.04492735736573053,0.023103437005441096,0.05,0.36436839456467035,0.9992989178204872,0.0011087547446174476
MHEALTH,0,M2,late_product,2,0.01,1987,0,0.0,0.16967782504217802,1.9999051378893347,0.16974220707634788,1.9999051044337979,0.001357502013858455,0.43817198907760263,0.08454957221942627,168,0.0,0,0.009494824238228037,0.012956858842561475,1.023322528258896,0.005024355739398024,0.01,0.431806743834927,1.0003794369367587,0.008000468025335727
MHEALTH,0,M2,late_mean,2,0.01,1987,0,0.0,0.13358603448612746,0.3333188859617109,0.13358603446433256,0.33331888619454153,3.819969291955787e-11,5.960464477539063e-08,0.16305988928032208,324,0.0,0,0.001674784123278417,0.0016747911691933853,0.0033333897590637207,0.005024355739398024,0.01,0.431806743834927,0.9999999998368475,2.8595573681412634e-10
MHEALTH,0,M2,cpsa,2,0.01,1987,0,0.0,0.20529789328006964,0.7047879585151013,0.2052740001131084,0.704796260259489,3.7898343764020676e-05,0.0012793682180483046,0.1545042778057373,307,0.0,0,0.0020321879497936196,0.0020408127237727183,0.009543673170645306,0.005024355739398024,0.01,0.431806743834927,0.9998836170864712,0.00018460171781850356
MHEALTH,0,M2,late_product,2,0.05,1987,0,0.0,0.16967782504217802,1.9999051378893347,0.1711168019317335,1.9999050620126324,0.002884739359781688,0.43817198907760263,0.08454957221942627,168,0.0010065425264217413,2,0.013596570068566495,0.01898793330543798,1.042837867508931,0.018918183299845296,0.05,0.30598892803220934,1.0084806420002013,0.017001274969576066
