seed,source,k,attn_mean,attn_median,attn_p10,attn_p90,attn_min,attn_max,mean_l1_to_pj
2,M1,2,0.56091654300689697,0.52265709638595581,0.44509154558181763,0.70837503671646118,0.28209343552589417,0.85175067186355591,0.24694615602493286
2,M1,3,0.68456888198852539,0.63371825218200684,0.59794145822525024,0.84507590532302856,0.48349577188491821,0.92421448230743408,0.14845243096351624
2,M1,5,0.80265218019485474,0.79761004447937012,0.71433341503143311,0.93313533067703247,0.68674653768539429,0.97105258703231812,0.071060501039028168
2,M1,8,0.87419766187667847,0.87396061420440674,0.80010885000228882,0.96929168701171875,0.79864466190338135,0.9876561164855957,0.036330610513687134
2,M1,16,0.93583428859710693,0.93853193521499634,0.88904255628585815,0.98902648687362671,0.8888898491859436,0.99595993757247925,0.014720856212079525
2,M1,32,0.96749711036682129,0.96886461973190308,0.94128477573394775,0.99548482894897461,0.94117730855941772,0.99840086698532104,0.0065477616153657436
2,M1,64,0.98362469673156738,0.98452037572860718,0.96975874900817871,0.99796062707901001,0.96969753503799438,0.99930775165557861,0.0030845941510051489
2,M1,100,0.98948955535888672,0.99011188745498657,0.98043334484100342,0.99875438213348389,0.98039275407791138,0.99958711862564087,0.0019318670965731144
2,M2,1,0.33380633592605591,0.33456790447235107,0.11725885421037674,0.47123229503631592,0.035993143916130066,0.74302208423614502,0.55666285753250122
2,M2,2,0.54993772506713867,0.52591508626937866,0.38735330104827881,0.7380790114402771,0.18267102539539337,0.90181392431259155,0.34158986806869507
