seed,source,k,operator,n_tokens,accuracy,ece,nll,brier,confidence,conf_acc_gap,entropy,d_accuracy,d_ece,d_nll,d_brier,d_confidence,mean_l1_to_k1,prediction_flip_rate,mean_l1_to_pj,source_top_class_agreement,unique_source_argmax_frac,n
0,M1,3,cpsa,5,0.78661298439859084,0.092198242853800128,0.63527786731719971,0.32847091555595398,0.85027682781219482,0.063663843413603982,0.40916472673416138,-0.091595369904378443,-0.016177712056165264,0.17089557647705078,0.11078718304634094,0.055704474449157715,0.24935770034790039,0.10266733769501761,0.18210780620574951,0.95923502767991953,1,1987
0,M1,5,cpsa,7,0.77906391545042775,0.16406416167070592,0.75181341171264648,0.38062947988510132,0.86939716339111328,0.090333247940685535,0.35393407940864563,-0.099144438852541539,0.05568820676074053,0.28743112087249756,0.16294574737548828,0.074824810028076172,0.32667982578277588,0.11222949169602416,0.10480763018131256,0.96930045294413691,1,1987
0,M1,8,cpsa,10,0.77151484650226476,0.18293736553336126,0.85552722215652466,0.41266432404518127,0.87899583578109741,0.10748098927883265,0.31511065363883972,-0.10669350780070452,0.074561410623395871,0.39114493131637573,0.19498059153556824,0.084423482418060303,0.37022820115089417,0.1217916456970307,0.061209447681903839,0.97886260694514349,1,1987
0,M1,16,cpsa,18,0.76346250629089074,0.19475186009111872,0.98694700002670288,0.4378141462802887,0.8855399489402771,0.12207744264938636,0.27976387739181519,-0.11474584801207854,0.086375905181153331,0.52256470918655396,0.22013041377067566,0.09096759557723999,0.4034791886806488,0.13034725717161549,0.027843354269862175,0.98741821841972821,1,1987
0,M1,32,cpsa,34,0.75842979365878205,0.19793196173246985,1.0917512178421021,0.44884762167930603,0.88817828893661499,0.12974849527783294,0.26146987080574036,-0.11977856064418724,0.089556006822504461,0.62736892700195312,0.23116388916969299,0.093605935573577881,0.41814905405044556,0.13537996980372421,0.013075769878923893,0.9924509310518369,1,1987
0,M1,64,cpsa,66,0.75641670860593857,0.19920814983737967,1.1751099824905396,0.45382288098335266,0.88932085037231445,0.13290414176637588,0.25203025341033936,-0.12179164569703071,0.090832194927414275,0.71072769165039062,0.23613914847373962,0.094748497009277344,0.42485499382019043,0.13739305485656769,0.0063074068166315556,0.99446401610468038,1,1987
0,M1,100,cpsa,102,0.75339708102667335,0.1978437475331416,1.2196664810180664,0.45551353693008423,0.88970905542373657,0.13631197439706322,0.24849887192249298,-0.12481127327629593,0.089467792623176209,0.75528419017791748,0.23782980442047119,0.095136702060699463,0.42715677618980408,0.14041268243583291,0.0039816908538341522,0.9974836436839456,1,1987
0,M2,1,cpsa,3,0.87820835430296929,0.10837595490996539,0.46438229084014893,0.21768373250961304,0.79457235336303711,-0.083636000939932176,0.5036197304725647,0,0,0,0,0,0,0,0.54443693161010742,0.72722697533970815,1,1987
0,M2,2,cpsa,4,0.81227981882234523,0.082245318836822651,0.51949608325958252,0.26015007495880127,0.80858784914016724,-0.0036919696821779979,0.48108598589897156,-0.065928535480624051,-0.026130636073142741,0.055113792419433594,0.042466342449188232,0.014015495777130127,0.20529788732528687,0.15450427780573731,0.33945614099502563,0.88173125314544543,1,1987
0,M2,3,cpsa,5,0.77101157523905384,0.13823254258715456,0.60875034332275391,0.3189031183719635,0.83567136526107788,0.064659790022024044,0.43051984906196594,-0.10719677906391545,0.02985658767718917,0.14436805248260498,0.10121938586235046,0.041099011898040771,0.32013773918151855,0.23049823855057877,0.22448326647281647,0.95772521389028686,1,1987
