seed,source,k,operator,subject,n,accuracy,nll,brier,confidence,prediction_flip_rate,mean_l1_to_k1
0,M2,16,late_product,8,654,0.49082568807339449,13.940299987792969,0.99164247512817383,0.98046928644180298,0.38532110091743121,0.78191322088241577
0,M2,16,late_product,9,671,0.82265275707898655,4.829984188079834,0.35465529561042786,0.99997961521148682,0.18181818181818182,0.36300209164619446
0,M2,16,late_product,10,662,0.91389728096676737,2.303302526473999,0.17219510674476624,0.99997484683990479,0.10876132930513595,0.22633112967014313
0,M2,32,late_product,8,654,0.4892966360856269,14.033036231994629,1.0192934274673462,0.99862325191497803,0.46788990825688076,0.92563474178314209
0,M2,32,late_product,9,671,0.81222056631892703,5.0601973533630371,0.37566173076629639,0.99903106689453125,0.19225037257824143,0.38338151574134827
0,M2,32,late_product,10,662,0.91238670694864044,2.3748087882995605,0.17532233893871307,0.99973022937774658,0.11027190332326284,0.22985300421714783
0,M2,64,late_product,8,654,0.4892966360856269,14.057801246643066,1.0214042663574219,0.99990600347518921,0.46788990825688076,0.92796170711517334
0,M2,64,late_product,9,671,0.80029806259314451,5.3545832633972168,0.39378783106803894,0.99791818857192993,0.20268256333830104,0.40116134285926819
0,M2,64,late_product,10,662,0.91087613293051362,2.4460737705230713,0.17824773490428925,1,0.11178247734138973,0.23233529925346375
0,M2,100,late_product,8,654,0.48776758409785931,14.09584903717041,1.0244513750076294,0.99999666213989258,0.4694189602446483,0.93084251880645752
0,M2,100,late_product,9,671,0.79582712369597619,5.5380454063415527,0.40602874755859375,0.99903541803359985,0.20715350223546944,0.41083738207817078
0,M2,100,late_product,10,662,0.91087613293051362,2.4625833034515381,0.17824773490428925,1,0.11178247734138973,0.23233529925346375
0,M3,1,late_product,8,654,0.65443425076452599,3.2893681526184082,0.62416386604309082,0.95034456253051758,0,0
0,M3,1,late_product,9,671,0.99552906110283157,0.011636955663561821,0.0072022848762571812,0.99554252624511719,0,0
0,M3,1,late_product,10,662,0.97432024169184295,0.088893495500087738,0.044376399368047714,0.98867207765579224,0,0
0,M3,2,late_product,8,654,0.74770642201834858,3.5518383979797363,0.477772057056427,0.98082834482192993,0.15749235474006115,0.30026236176490784
0,M3,2,late_product,9,671,0.98658718330849482,0.03622930496931076,0.019629115238785744,0.99757832288742065,0.0089418777943368107,0.014557700604200363
0,M3,2,late_product,10,662,0.97280966767371602,0.17397494614124298,0.057648450136184692,0.96810436248779297,0.0015105740181268882,0.057541526854038239
0,M3,3,late_product,8,654,0.74006116207951067,4.0169668197631836,0.49761402606964111,0.98501682281494141,0.16972477064220184,0.3356361985206604
0,M3,3,late_product,9,671,0.98360655737704916,0.080849654972553253,0.030452392995357513,0.99771088361740112,0.011922503725782414,0.025506274774670601
0,M3,3,late_product,10,662,0.8761329305135952,0.87827026844024658,0.23302309215068817,0.98971438407897949,0.10422960725075529,0.21301792562007904
0,M3,5,late_product,8,654,0.73547400611620795,4.3736681938171387,0.4825206995010376,0.96771204471588135,0.26299694189602446,0.52691167593002319
0,M3,5,late_product,9,671,0.97019374068554398,0.23514486849308014,0.054956573992967606,0.99690550565719604,0.02533532041728763,0.051128733903169632
0,M3,5,late_product,10,662,0.85800604229607247,2.6319336891174316,0.26352259516716003,0.98665302991867065,0.13595166163141995,0.26784029603004456
0,M3,8,late_product,8,654,0.75229357798165142,5.6914687156677246,0.4812508225440979,0.98536986112594604,0.37155963302752293,0.72579354047775269
0,M3,8,late_product,9,671,0.95827123695976157,0.57450753450393677,0.078904017806053162,0.99698042869567871,0.037257824143070044,0.074531532824039459
0,M3,8,late_product,10,662,0.82779456193353473,3.8052918910980225,0.33640936017036438,0.99541592597961426,0.17371601208459214,0.3489564061164856
0,M3,16,late_product,8,654,0.74006116207951067,6.8203234672546387,0.51220422983169556,0.99492901563644409,0.41743119266055045,0.821510910987854
0,M3,16,late_product,9,671,0.94932935916542471,1.131087064743042,0.099555820226669312,0.99851661920547485,0.046199701937406856,0.093096815049648285
0,M3,16,late_product,10,662,0.80211480362537768,4.9515199661254883,0.39406546950340271,0.99699270725250244,0.19788519637462235,0.39828932285308838
0,M3,32,late_product,8,654,0.73241590214067276,7.1394500732421875,0.53155124187469482,0.99687665700912476,0.44495412844036697,0.88458418846130371
0,M3,32,late_product,9,671,0.94336810730253351,1.4204280376434326,0.11262427270412445,0.99947917461395264,0.05216095380029806,0.1052701473236084
0,M3,32,late_product,10,662,0.77945619335347427,5.7425179481506348,0.43901610374450684,0.9981544017791748,0.22054380664652568,0.44195851683616638
0,M3,64,late_product,8,654,0.6834862385321101,7.7042784690856934,0.62589317560195923,0.996421217918396,0.5,0.99140000343322754
0,M3,64,late_product,9,671,0.93293591654247388,1.6500803232192993,0.13373455405235291,0.99989867210388184,0.06259314456035768,0.12562492489814758
0,M3,64,late_product,10,662,0.77039274924471302,6.2374420166015625,0.45791885256767273,0.99904590845108032,0.22960725075528701,0.4595298171043396
0,M3,100,late_product,8,654,0.63761467889908252,8.9614696502685547,0.71591281890869141,0.99488312005996704,0.54892966360856266,1.0880396366119385
0,M3,100,late_product,9,671,0.93293591654247388,1.8008514642715454,0.13398568332195282,0.99946880340576172,0.06259314456035768,0.12654353678226471
0,M3,100,late_product,10,662,0.76586102719033233,6.3954310417175293,0.46817126870155334,0.99994027614593506,0.23413897280966767,0.46857425570487976
0,M1,1,late_mean,8,654,0.63761467889908252,1.0085262060165405,0.4558599591255188,0.61327564716339111,0,0
0,M1,1,late_mean,9,671,0.9940387481371088,0.21142426133155823,0.10559449344873428,0.83886265754699707,0,0
0,M1,1,late_mean,10,662,0.98036253776435045,0.29489675164222717,0.14266905188560486,0.7802768349647522,0,0
0,M1,2,late_mean,8,654,0.53975535168195721,1.0982893705368042,0.5178486704826355,0.68217635154724121,0.11773700305810397,0.17518018186092377
0,M1,2,late_mean,9,671,0.99105812220566314,0.19789771735668182,0.09779764711856842,0.84650802612304688,0.0089418777943368107,0.060089737176895142
0,M1,2,late_mean,10,662,0.87160120845921452,0.32901808619499207,0.16742289066314697,0.79292041063308716,0.10876132930513595,0.11568965017795563
0,M1,3,late_mean,8,654,0.52446483180428138,1.1734408140182495,0.57102423906326294,0.72811436653137207,0.13608562691131498,0.28028830885887146
0,M1,3,late_mean,9,671,0.98360655737704916,0.19265884160995483,0.09716372936964035,0.85207861661911011,0.016393442622950821,0.096143580973148346
0,M1,3,late_mean,10,662,0.85649546827794565,0.35770979523658752,0.19146028161048889,0.80566573143005371,0.12386706948640483,0.18510344624519348
0,M1,5,late_mean,8,654,0.5214067278287462,1.29071044921875,0.64647394418716431,0.78169667720794678,0.13914373088685014,0.40041181445121765
0,M1,5,late_mean,9,671,0.97466467958271241,0.1891200840473175,0.10015330463647842,0.8601454496383667,0.02533532041728763,0.1373479813337326
0,M1,5,late_mean,10,662,0.84592145015105735,0.40226668119430542,0.22736687958240509,0.82179737091064453,0.13595166163141995,0.26443347334861755
